MEMID,ED4A
015015006,Primary
015015007,Primary
015015008,Primary
015016001,Lower Secondary
015016002,Lower Secondary
015016003,Lower Secondary
015016004,Upper Secondary
015017001,
015017002,Lower Secondary
015017003,Lower Secondary
015018001,Lower Secondary
015018002,Lower Secondary
015018003,
015018004,
015019001,Lower Secondary
015019002,College/University and above
015019003,Professional School
015019004,Upper Secondary
015020001,Lower Secondary
015020002,
016001001,College/University and above
016001002,College/University and above
016001003,Lower Secondary
016001004,Lower Secondary
016001005,Lower Secondary
016001006,Primary
016001007,Preschool
016002001,Upper Secondary
016002002,Lower Secondary
016002003,College/University and above
016002004,Lower Secondary
016003001,Upper Secondary
016003002,Upper Secondary
016003003,Upper Secondary
016003004,Upper Secondary
016004001,Lower Secondary
016005001,Lower Secondary
016005002,Lower Secondary
016005003,
016005004,Lower Secondary
016005005,Primary
016006001,Lower Secondary
016006002,Upper Secondary
016007001,College/University and above
016007002,Professional School
016007003,
016008001,College/University and above
016008002,Upper Secondary
016008003,Primary
016008004,
016009001,Upper Secondary
016009002,Upper Secondary
016009003,Upper Secondary
016009004,Lower Secondary
016009005,Lower Secondary
016010001,Upper Secondary
016010002,Lower Secondary
016010003,Lower Secondary
016010004,Preschool
016010005,
016010006,Upper Secondary
016010007,Upper Secondary
016011001,Lower Secondary
016011002,Lower Secondary
016011003,Upper Secondary
016012001,Lower Secondary
016012002,Lower Secondary
016012003,Primary
016012004,
016012005,
016013001,Lower Secondary
016013002,Lower Secondary
016013003,Upper Secondary
016013004,Lower Secondary
016014001,Primary
016014002,Upper Secondary
016014003,Lower Secondary
016014004,Preschool
016014005,Upper Secondary
016015001,Lower Secondary
016015002,Upper Secondary
016015003,
016015004,Lower Secondary
016015005,Lower Secondary
016015006,Professional School
016016001,Lower Secondary
016016002,Upper Secondary
016016003,Professional School
016016004,Upper Secondary
016017001,Lower Secondary
016017002,Lower Secondary
016017003,
016017004,
016017005,Primary
016018001,Lower Secondary
016018002,Upper Secondary
016019001,Lower Secondary
016019002,Lower Secondary
016019003,Upper Secondary
016019004,College/University and above
016019005,Upper Secondary
016019006,Upper Secondary
016019007,Upper Secondary
016019008,
016019009,
016020001,Upper Secondary
016020002,Lower Secondary
016020003,Upper Secondary
016020004,Primary
016020005,
017001001,College/University and above
017001002,College/University and above
017001003,Preschool
017001004,
017002001,Upper Secondary
017002002,Lower Secondary
