HHID,HHAGE,HHSEX
072006,35.0,Male
072007,34.0,Male
072008,25.0,Male
072009,48.0,Male
072010,42.0,Male
072011,43.0,Male
072012,40.0,Male
072013,65.0,Male
072014,43.0,Female
072015,40.0,Male
072016,66.0,Male
072017,35.0,Male
072018,48.0,Male
072019,66.0,Male
072020,24.0,Male
073001,29.0,Male
073002,40.0,Male
073003,55.0,Female
073004,56.0,Male
073005,25.0,Male
073006,50.0,Male
073007,49.0,Male
073008,36.0,Male
073009,48.0,Male
073010,39.0,Male
073011,70.0,Male
073012,62.0,Male
073013,46.0,Male
073014,47.0,Male
073015,49.0,Male
073016,32.0,Male
073017,25.0,Male
073018,36.0,Male
073019,46.0,Male
073020,29.0,Male
074001,48.0,Male
074002,38.0,Male
074003,41.0,Female
074004,27.0,Male
074005,50.0,Male
074006,48.0,Male
074007,65.0,Male
074008,50.0,Male
074009,29.0,Male
074010,35.0,Male
074011,30.0,Male
074012,24.0,Male
074013,49.0,Male
074014,27.0,Male
074015,33.0,Male
074016,24.0,Male
074017,28.0,Male
074019,27.0,Male
074020,27.0,Male
075001,32.0,Male
075002,27.0,Male
075003,30.0,Male
075004,49.0,Male
075005,35.0,Male
075006,43.0,Male
075007,26.0,Male
075008,24.0,Male
075009,31.0,Male
075010,58.0,Male
075011,37.0,Male
075012,47.0,Male
075013,36.0,Male
075014,40.0,Male
075015,29.0,Male
075016,54.0,Male
075017,46.0,Male
075018,65.0,Male
075019,48.0,Male
075020,21.0,Male
076001,33.0,Male
076002,45.0,Male
076003,37.0,Male
076004,43.0,Male
